jam_strength,distance_nm,total_simulations,success_count,success_probability,hit_probability
8,1.0,5000,788,0.1576,0.8424
8,2.0,5000,1413,0.2826,0.7174
8,3.0,5000,1986,0.3972,0.6028
8,4.0,5000,2384,0.4768,0.5232
8,5.0,5000,2761,0.5522,0.4478
8,6.0,5000,3103,0.6206,0.37939999999999996
8,7.0,5000,3021,0.6042,0.39580000000000004
8,8.0,5000,3290,0.658,0.34199999999999997
8,9.0,5000,3403,0.6806,0.3194
8,10.0,5000,3389,0.6778,0.32220000000000004
8,11.0,5000,3543,0.7086,0.2914
8,12.0,5000,3583,0.7166,0.2834
8,13.0,5000,3620,0.724,0.276
8,14.0,5000,3575,0.715,0.28500000000000003
8,15.0,5000,3547,0.7094,0.29059999999999997
8,16.0,5000,3593,0.7186,0.2814
8,17.0,5000,3676,0.7352,0.26480000000000004
8,18.0,5000,3688,0.7376,0.26239999999999997
8,19.0,5000,3675,0.735,0.265
8,20.0,5000,3804,0.7608,0.23919999999999997
8,21.0,5000,3686,0.7372,0.26280000000000003
8,22.0,5000,3708,0.7416,0.25839999999999996
8,23.0,5000,3702,0.7404,0.25960000000000005
8,24.0,5000,3716,0.7432,0.25680000000000003
8,25.0,5000,3776,0.7552,0.24480000000000002
8,26.0,5000,3765,0.753,0.247
8,27.0,5000,3787,0.7574,0.24260000000000004
8,28.0,5000,3718,0.7436,0.25639999999999996
8,29.0,5000,3781,0.7562,0.24380000000000002
8,30.0,5000,3717,0.7434,0.25660000000000005
8,31.0,5000,3815,0.763,0.237
8,32.0,5000,3776,0.7552,0.24480000000000002
8,33.0,5000,3798,0.7596,0.24039999999999995
8,34.0,5000,3762,0.7524,0.24760000000000004
8,35.0,5000,3801,0.7602,0.2398
8,36.0,5000,3718,0.7436,0.25639999999999996
8,37.0,5000,3781,0.7562,0.24380000000000002
8,38.0,5000,3854,0.7708,0.22919999999999996
8,39.0,5000,3866,0.7732,0.2268
8,40.0,5000,3790,0.758,0.242
8,41.0,5000,3761,0.7522,0.24780000000000002
8,42.0,5000,3789,0.7578,0.24219999999999997
8,43.0,5000,3778,0.7556,0.24439999999999995
8,44.0,5000,3880,0.776,0.22399999999999998
8,45.0,5000,3874,0.7748,0.22519999999999996
8,46.0,5000,3849,0.7698,0.23019999999999996
8,47.0,5000,3903,0.7806,0.21940000000000004
8,48.0,5000,3789,0.7578,0.24219999999999997
8,49.0,5000,3813,0.7626,0.23740000000000006
8,50.0,5000,3775,0.755,0.245
